YTD_return,company,symbol
6.29%,PACCAR INC,PCAR
6.27%,EASTMAN CHEMICAL CO,EMN
6.24%,NEXTERA ENERGY INC,NEE
6.12%,ENTERGY CORP,ETR
6.11%,MONSTER BEVERAGE CORP,MNST
6.03%,CHUBB LTD,CB
5.99%,WILLIS TOWERS WATSON PLC,WTW
5.98%,F5 INC,FFIV
5.93%,REVVITY INC,RVTY
5.88%,PAYCOM SOFTWARE INC,PAYC
5.78%,METTLER TOLEDO INTERNATIONAL,MTD
5.76%,CORTEVA INC,CTVA
5.70%,EVERGY INC,EVRG
5.61%,PPL CORP,PPL
5.57%,NORTHROP GRUMMAN CORP,NOC
5.57%,IDEXX LABORATORIES INC,IDXX
5.56%,ILLINOIS TOOL WORKS,ITW
5.44%,ZOETIS INC,ZTS
5.43%,TRANSDIGM GROUP INC,TDG
5.39%,BOSTON SCIENTIFIC CORP,BSX
5.25%,SHERWIN WILLIAMS CO/THE,SHW
5.21%,WATERS CORP,WAT
5.16%,CAMDEN PROPERTY TRUST,CPT
5.14%,PROCTER + GAMBLE CO/THE,PG
4.98%,DOMINION ENERGY INC,D
4.92%,KRAFT HEINZ CO/THE,KHC
4.83%,CISCO SYSTEMS INC,CSCO
4.83%,DOMINO S PIZZA INC,DPZ
4.79%,ESSEX PROPERTY TRUST INC,ESS
4.79%,NISOURCE INC,NI
4.79%,CARDINAL HEALTH INC,CAH
4.75%,ZIMMER BIOMET HOLDINGS INC,ZBH
4.74%,COTERRA ENERGY INC,CTRA
4.74%,ALEXANDRIA REAL ESTATE EQUIT,ARE
4.73%,DARDEN RESTAURANTS INC,DRI
4.73%,PUBLIC STORAGE,PSA
4.71%,AIR PRODUCTS + CHEMICALS INC,APD
4.67%,STEEL DYNAMICS INC,STLD
4.56%,REGENERON PHARMACEUTICALS,REGN
4.52%,DEVON ENERGY CORP,DVN
4.48%,FISERV INC,FI
4.39%,GARMIN LTD,GRMN
4.27%,HUNTINGTON INGALLS INDUSTRIE,HII
4.12%,EXTRA SPACE STORAGE INC,EXR
3.93%,EXXON MOBIL CORP,XOM
3.60%,L3HARRIS TECHNOLOGIES INC,LHX
3.55%,TE CONNECTIVITY PLC,TEL
3.50%,AUTOMATIC DATA PROCESSING,ADP
3.47%,RESMED INC,RMD
3.47%,MICRON TECHNOLOGY INC,MU
3.43%,VALERO ENERGY CORP,VLO
3.22%,TELEDYNE TECHNOLOGIES INC,TDY
3.21%,AFLAC INC,AFL
3.21%,GENERAL DYNAMICS CORP,GD
3.09%,ALLSTATE CORP,ALL
3.06%,LYONDELLBASELL INDU CL A,LYB
2.99%,EQT CORP,EQT
2.98%,INCYTE CORP,INCY
2.81%,BROADRIDGE FINANCIAL SOLUTIO,BR
2.80%,STRYKER CORP,SYK
2.76%,PEPSICO INC,PEP
2.71%,XCEL ENERGY INC,XEL
2.70%,EOG RESOURCES INC,EOG
2.62%,WYNN RESORTS LTD,WYNN
2.40%,GENERAL MILLS INC,GIS
2.20%,NEWS CORP   CLASS B,NWS
2.19%,LAM RESEARCH CORP,LRCX
2.13%,META PLATFORMS INC CLASS A,META
2.05%,SMITH (A.O.) CORP,AOS
2.00%,MASTERCARD INC   A,MA
1.98%,UDR INC,UDR
1.98%,COSTCO WHOLESALE CORP,COST
1.97%,HEALTHPEAK PROPERTIES INC,DOC
1.87%,NORFOLK SOUTHERN CORP,NSC
1.85%,MASCO CORP,MAS
1.83%,KELLANOVA,K
1.79%,ANALOG DEVICES INC,ADI
1.65%,FORTINET INC,FTNT
1.57%,DAVITA INC,DVA
1.51%,NORDSON CORP,NDSN
1.31%,KEURIG DR PEPPER INC,KDP
1.26%,THERMO FISHER SCIENTIFIC INC,TMO
1.24%,ALLEGION PLC,ALLE
1.22%,MOSAIC CO/THE,MOS
1.13%,GEN DIGITAL INC,GEN
0.99%,PALANTIR TECHNOLOGIES INC A,PLTR
0.96%,NIKE INC  CL B,NKE
0.89%,OLD DOMINION FREIGHT LINE,ODFL
0.89%,QUALCOMM INC,QCOM
0.88%,SYSCO CORP,SYY
0.76%,DUPONT DE NEMOURS INC,DD
0.61%,INTERPUBLIC GROUP OF COS INC,IPG
0.61%,FORD MOTOR CO,F
0.56%,AIRBNB INC CLASS A,ABNB
0.48%,NXP SEMICONDUCTORS NV,NXPI
0.41%,PFIZER INC,PFE
0.38%,THE CAMPBELL S COMPANY,CPB
0.34%,BAKER HUGHES CO,BKR
0.30%,LOEWS CORP,L
0.26%,BECTON DICKINSON AND CO,BDX
0.19%,WARNER BROS DISCOVERY INC,WBD
